content_id,title,description,category,level,duration,difficulty,rating
1,Computer Vision Basics,Perfect for beginners looking to start their journey.,Cyber Security,Advanced,196,2,4.08
2,Python for Beginners,Comprehensive guide to mastering modern technologies with hands-on examples.,Programming,Beginner,134,3,4.24
3,Mobile App Development with Flutter,Build projects and gain practical experience.,Software Engineering,Advanced,189,1,3.48
4,Power BI for Data Analysis,Perfect for beginners looking to start their journey.,Cyber Security,Beginner,31,3,3.43
5,Power BI for Data Analysis,Understand concepts and apply them to real-life problems.,Programming,Beginner,98,1,4.19
6,Artificial Intelligence Fundamentals,Build projects and gain practical experience.,Business Analytics,Intermediate,138,3,3.44
7,Mobile App Development with Flutter,Perfect for beginners looking to start their journey.,Data Science,Beginner,55,1,3.95
8,Machine Learning A-Z,Hands-on training with real datasets and real-world scenarios.,Software Engineering,Intermediate,27,2,3.79
9,Computer Vision Basics,Beginner-friendly course covering core concepts and practical applications.,Programming,Beginner,47,3,3.81
10,Python for Beginners,Learn the fundamentals and build real-world projects step by step.,Data Science,Advanced,135,1,4.57
11,"Web Development with HTML, CSS & JavaScript",Perfect for beginners looking to start their journey.,Cyber Security,Intermediate,105,1,4.26
12,Full Stack Web Development,Hands-on training with real datasets and real-world scenarios.,Web Development,Intermediate,68,1,4.9
13,Advanced Excel for Business,Learn the fundamentals and build real-world projects step by step.,Software Engineering,Beginner,185,2,4.48
14,Full Stack Web Development,Learn the fundamentals and build real-world projects step by step.,Data Science,Beginner,99,3,2.86
15,Full Stack Web Development,Hands-on training with real datasets and real-world scenarios.,Programming,Intermediate,24,1,4.35
16,Natural Language Processing with Python,Step-by-step guide to becoming a professional in this field.,Data Science,Beginner,65,2,4.16
17,Deep Learning with TensorFlow,Build projects and gain practical experience.,Artificial Intelligence,Beginner,117,2,4.12
18,Artificial Intelligence Fundamentals,Master advanced techniques and industry best practices.,Cloud Computing,Intermediate,121,2,3.7
19,Data Science Bootcamp,Step-by-step guide to becoming a professional in this field.,Cloud Computing,Beginner,21,2,2.66
20,Python for Beginners,Understand concepts and apply them to real-life problems.,Programming,Beginner,44,2,4.88
21,Computer Vision Basics,Learn the fundamentals and build real-world projects step by step.,Programming,Beginner,20,2,4.63
22,Computer Vision Basics,Master advanced techniques and industry best practices.,Software Engineering,Beginner,187,2,3.72
23,Data Science Bootcamp,Master advanced techniques and industry best practices.,Data Science,Advanced,87,3,2.9
24,Introduction to Cyber Security,Hands-on training with real datasets and real-world scenarios.,Programming,Beginner,88,3,4.56
25,Mobile App Development with Flutter,Hands-on training with real datasets and real-world scenarios.,Software Engineering,Advanced,35,2,3.58
26,Introduction to Cyber Security,Advanced course for professionals aiming to upgrade their skills.,Cyber Security,Beginner,37,1,3.48
27,Advanced Excel for Business,Beginner-friendly course covering core concepts and practical applications.,Cyber Security,Beginner,126,1,4.16
28,Computer Vision Basics,Perfect for beginners looking to start their journey.,Business Analytics,Intermediate,36,1,4.4
29,Mobile App Development with Flutter,Beginner-friendly course covering core concepts and practical applications.,Web Development,Beginner,144,2,2.66
30,Mobile App Development with Flutter,Beginner-friendly course covering core concepts and practical applications.,Cloud Computing,Intermediate,101,1,4.42
31,Cloud Computing with AWS,Build projects and gain practical experience.,Data Science,Advanced,23,3,4.33
32,SQL for Data Science,Understand concepts and apply them to real-life problems.,Web Development,Beginner,134,3,3.97
33,Artificial Intelligence Fundamentals,Beginner-friendly course covering core concepts and practical applications.,Cyber Security,Intermediate,114,3,3.35
34,Power BI for Data Analysis,Master advanced techniques and industry best practices.,Artificial Intelligence,Beginner,114,3,2.91
35,Power BI for Data Analysis,Learn the fundamentals and build real-world projects step by step.,Software Engineering,Beginner,156,2,2.76
36,Full Stack Web Development,Beginner-friendly course covering core concepts and practical applications.,Programming,Beginner,50,3,2.5
37,Mobile App Development with Flutter,Build projects and gain practical experience.,Software Engineering,Advanced,152,1,3.02
38,Computer Vision Basics,Advanced course for professionals aiming to upgrade their skills.,Web Development,Beginner,35,1,3.53
39,Mobile App Development with Flutter,Comprehensive guide to mastering modern technologies with hands-on examples.,Web Development,Advanced,61,3,3.11
40,Machine Learning A-Z,Advanced course for professionals aiming to upgrade their skills.,Cyber Security,Intermediate,188,3,3.27
41,Artificial Intelligence Fundamentals,Understand concepts and apply them to real-life problems.,Artificial Intelligence,Beginner,49,3,3.48
42,SQL for Data Science,Beginner-friendly course covering core concepts and practical applications.,Cyber Security,Beginner,45,1,3.27
43,"Web Development with HTML, CSS & JavaScript",Beginner-friendly course covering core concepts and practical applications.,Data Science,Intermediate,196,1,4.31
44,Data Science Bootcamp,Perfect for beginners looking to start their journey.,Business Analytics,Intermediate,50,3,3.73
45,Natural Language Processing with Python,Advanced course for professionals aiming to upgrade their skills.,Cloud Computing,Beginner,69,1,2.55
46,Natural Language Processing with Python,Comprehensive guide to mastering modern technologies with hands-on examples.,Cloud Computing,Advanced,162,1,3.07
47,Cloud Computing with AWS,Beginner-friendly course covering core concepts and practical applications.,Data Science,Beginner,71,2,4.27
48,Full Stack Web Development,Perfect for beginners looking to start their journey.,Artificial Intelligence,Advanced,185,3,3.25
49,Data Science Bootcamp,Perfect for beginners looking to start their journey.,Data Science,Intermediate,57,3,4.8
50,Mobile App Development with Flutter,Build projects and gain practical experience.,Cyber Security,Intermediate,39,2,4.28
51,"Web Development with HTML, CSS & JavaScript",Master advanced techniques and industry best practices.,Cyber Security,Intermediate,118,2,3.22
52,Introduction to Cyber Security,Perfect for beginners looking to start their journey.,Cloud Computing,Intermediate,63,1,3.79
53,Mobile App Development with Flutter,Step-by-step guide to becoming a professional in this field.,Artificial Intelligence,Intermediate,130,2,4.17
54,"Web Development with HTML, CSS & JavaScript",Hands-on training with real datasets and real-world scenarios.,Cyber Security,Intermediate,108,3,2.98
55,Python for Beginners,Step-by-step guide to becoming a professional in this field.,Artificial Intelligence,Beginner,82,3,3.12
56,Natural Language Processing with Python,Advanced course for professionals aiming to upgrade their skills.,Artificial Intelligence,Intermediate,137,3,3.77
57,Data Science Bootcamp,Understand concepts and apply them to real-life problems.,Business Analytics,Beginner,197,1,4.81
58,Cloud Computing with AWS,Comprehensive guide to mastering modern technologies with hands-on examples.,Programming,Beginner,169,1,3.36
59,Data Science Bootcamp,Step-by-step guide to becoming a professional in this field.,Web Development,Beginner,91,3,3.51
