content_id,title,description,tags,level,duration
1,تنمية الانتباه,درس يهدف إلى تنمية مهارة تنمية الانتباه لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,مبتدئ,8
2,حل المشكلات,درس يهدف إلى تنمية مهارة حل المشكلات لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,متوسط,8
3,الذاكرة العاملة,درس يهدف إلى تنمية مهارة الذاكرة العاملة لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,متقدم,10
4,التفكير المنطقي,درس يهدف إلى تنمية مهارة التفكير المنطقي لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,مبتدئ,10
5,التخطيط الاستراتيجي,درس يهدف إلى تنمية مهارة التخطيط الاستراتيجي لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,متوسط,18
6,الإبداع العقلي,درس يهدف إلى تنمية مهارة الإبداع العقلي لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,متوسط,19
7,تركيز الانتباه السمعي,درس يهدف إلى تنمية مهارة تركيز الانتباه السمعي لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,متقدم,17
8,الوعي البصري,درس يهدف إلى تنمية مهارة الوعي البصري لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,متوسط,11
9,التمييز السمعي,درس يهدف إلى تنمية مهارة التمييز السمعي لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,مبتدئ,18
10,معالجة المعلومات,درس يهدف إلى تنمية مهارة معالجة المعلومات لدى الطلاب من خلال تمارين وأنشطة تفاعلية.,ذكاء|تنمية مهارات|تربية عقلية,متقدم,9
